Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Image URL,Activities,Source
Kanailā kī kathā,,,,,Rāhul Sāṅkṛtyāyana,"Sāṅkṛtyāyana, Rāhul",,,,,,Kitāb Mahal,,,1998,,,,,,,,,,,,,,,,,,,,, 50.00,,,,,,,9788122500806,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:10:10.158774971,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/08474CB9-5FAC-4EE0-88D2-23111FA00FB1,,
Raskapur,,,,,Anand Sharma,"Sharma, Anand",,,,,,Rajkamal Prakashan,,2004/01/01,2004,,,,,"""इतिहास कथा-लेखन के दौरान इतिहास में साहसी-सामर्थ्यवान नारियों का अभाव मुझे रह-रहकर सालता था ! एक प्रश्न हर बार उठता था कि मीराबाई, पन्नाधाय, हाडीरानी, कर्मवती आदि अँगुलियों पर गिनी जानेवाली नारियों के बाद, राजस्थान की उर्वरा भूमि बाँझ क्यों हो गई ?"" इस दिशा में खोज आरम्भ करने के चमत्कारी परिणाम निकले ! एक-दो नहीं, दो दर्जन से भी अधिक नारी पात्र, इतिहास की गर्द झाड़ते मेरे सम्मुख जीवित हो उठे ! ""एक तवायफ के प्रेम में अनुरक्त हो, उसे जयपुर का आधा राज्य दे डालने वाले महाराजा जगतसिंह की इतिहासकारों ने भरपूर भर्त्सना की थी लेकिन वस्त्रों की तरह स्त्रियाँ बदलनेवाले अति कामुक महाराज का, एक हीन कुल की स्त्री में अनुरक्ति का ऐसा उफान, जो उसे पटरानी-महारानियों से पृथक, महल 'रसविलास' के साथ जयपुर का आधा राज्य प्रदान कर, अपने समान स्तर पर ला बैठाए, मात्र वासना का परिणाम नहीं हो सकता !"" उपन्यास होते हुए भी रसकपूर अस्सी प्रतिशत इतिहास है, उपन्यास के सौ के लगभग पात्रों में केवल पांच-सात नाम ही काल्पनिक हैं !",,,,,,,,,,,380,,,,,125 ,Hindi,,,,,,9788126702923,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:11:03.462800025,,,,,,,XrwID3I-ilEC,Hindi,0,0,,,,
Bāteṃ-Mulāqāteṃ,,ātmaparaka-sāhityaparaka,,,Manohara Śyāma Jośī,"Jośī, Manohara Śyāma",,,,,,Vāṇī Prakāśana,,,2014,,,,Interviews,,,,,,,,,,,,183,,,,, 395.00,,,,PK2098.25.O666 Z695 2014,2014361530,,9789350726952,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:11:56.865942001,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350726955.01Z.jpg,,
Gurukathā anantā,,,,,Bimala Kumāra Hajārikā,"Hajārikā, Bimala Kumāra",,,,,,Sākshī Prakāśana,,,2003,,,,,,,,,,,,,,,,80,,,,, 100.00,,,,,,,9788186265956,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:12:39.184659004,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CED5BBA5-B660-4AFD-949A-C6752F1BEF4E,,
Dropdi ki Mahabharat,,Pāñcālī ke pariprekshya se varṇita mahāgāthā,,,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,,,,,imusti,,2015/08/06,2015,,,,,,,,,,,,,,,,356,,,,, 299.00,,,,,,,9788183225809,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:14:03.426182985,,,,,,,,Hindi,0,0,,https://covers.openlibrary.org/b/id/9385114-L.jpg,,
Dropdi ki Mahabharat,,Pāñcālī ke pariprekshya se varṇita mahāgāthā,,,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,,,,,imusti,,2015/08/06,2015,,,,,,,,,,,,,,,,356,,,,, 299.00,,,,,,,9788183225809,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:14:34.660249948,,,,,,,,Hindi,0,0,,https://covers.openlibrary.org/b/id/9385114-L.jpg,,
Merī priya kahāniyāṃ,,,,,Rajendra Yādav,"Yādav, Rajendra",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 150.00,,,,,,,9789350640647,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:15:00.990939021,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640643.01Z.jpg,,
Raṅgabhūmi,,,,,1881-1936 Premacanda,"Premacanda, 1881-1936",,,,,,,,,,,,,,,,,,,,,,,,,496,,,,, 795.00,,,,,,,9789350000830,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:15:39.465320944,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/9E78881B-2B72-401F-87E9-03BB77797080,,
दीवार में एक खिड़की रहती थी,,उपन्यास,,,Vinoda Kumāra Śukla,"Śukla, Vinoda Kumāra",,,,,,Vani Prakashan,,,1997,,,,,Novel based on the life of middle class.,,,,,,,,,,,168,,,,, 395.00,Hindi,,,PK2098.39.U43 D58 1997,97906703,,9788170555414,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:16:02.360689043,,,,,,,CXXMyLeoUSgC,Hindi,0,0,,,,
Shikayat Mujhe Bhi Hai,,,,,Harishankar Parsai,"Parsai, Harishankar",,,,,,Rajkamal Prakashan,,2009/09/01,2009,,,,,"शिकायत मुझे भी है' में हरिशंकर परसाई के लगभग दो दर्जन निबन्ध संगृहीत हैं और इनमें से हर निबन्ध आज की वास्तविकता के किसी न किसी पक्ष पर चुटीला व्यंग्य करता है । परसाई के लेखन की यह विशेषता है कि वे केवल विनोद या परिहास के लिए नहीं लिखते । उनका सारा लेखन सोद्देश्य है और सभी रचनाओं के पीछे एक साफ–सुलझी हुई वैज्ञानिक जीवनदृष्टि है, जो समाज में फैले हुए भ्रष्टाचार, ढोंग, अवसरवादिता, अन्धविश्वास, साम्प्रदायिकता आदि कुप्रवृत्तियों पर तेज रोशनी डालने के लिए हर समय सतर्क रहती है । कहने का ढंग चाहे जितना हल्का–फुल्का हो, किन्तु हर निबन्ध आज की जटिल परिस्थितियों को समझने के लिए एक अन्तर्दृष्टि प्रदान करता है । इसलिए जो आज की सचाई को जानने में रुचि रखते हैं, उनके लिए यह पुस्तक संग्रहणीय है ।",,,,,,,,,,,143,,,,,150 ,Hindi,,,,,,9788126708604,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:17:07.551134943,,,,,,,Ry5INXWaDTkC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/AC7E0588-94B0-409F-98E0-62464F021B2B,,
Shikayat Mujhe Bhi Hai,,,,,Harishankar Parsai,"Parsai, Harishankar",,,,,,Rajkamal Prakashan,,2009/09/01,2009,,,,,"शिकायत मुझे भी है' में हरिशंकर परसाई के लगभग दो दर्जन निबन्ध संगृहीत हैं और इनमें से हर निबन्ध आज की वास्तविकता के किसी न किसी पक्ष पर चुटीला व्यंग्य करता है । परसाई के लेखन की यह विशेषता है कि वे केवल विनोद या परिहास के लिए नहीं लिखते । उनका सारा लेखन सोद्देश्य है और सभी रचनाओं के पीछे एक साफ–सुलझी हुई वैज्ञानिक जीवनदृष्टि है, जो समाज में फैले हुए भ्रष्टाचार, ढोंग, अवसरवादिता, अन्धविश्वास, साम्प्रदायिकता आदि कुप्रवृत्तियों पर तेज रोशनी डालने के लिए हर समय सतर्क रहती है । कहने का ढंग चाहे जितना हल्का–फुल्का हो, किन्तु हर निबन्ध आज की जटिल परिस्थितियों को समझने के लिए एक अन्तर्दृष्टि प्रदान करता है । इसलिए जो आज की सचाई को जानने में रुचि रखते हैं, उनके लिए यह पुस्तक संग्रहणीय है ।",,,,,,,,,,,143,,,,,150 ,Hindi,,,,,,9788126708604,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:18:46.660112023,,,,,,,Ry5INXWaDTkC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CAEC637F-C200-4DED-84E4-001FEE5D98B9,,
Awara Bheed Ke Khatare,,,,,Hariśaṅkara Parasāī,"Parasāī, Hariśaṅkara",,,,,,Rajkamal Prakashan Pvt. Limited,,2005/09/01,2005,,,,,,,,,,,,,,,,172,,,,, 395.00,Hindi,,,,,,9788126701414,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:19:07.347916960,,,,,,,UgKgPwAACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/8126701412.01Z.jpg,,
Kauṭilya arthaśāstra,,"Cāṇakya-racita prasiddha grantha ""arthaśāstra"" kā saṃkṣipta hindī rūpāṃtara",,,Kauṭilya.,Kauṭilya.,,,,,,Rājapāla,,,2001,,,,,,,,,,,,,,,,,,,,, 140.00,,,,,,,9788170282105,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:22:53.624812006,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170282101.01Z.jpg,,
Kauṭilya arthaśāstra,,"Cāṇakya-racita prasiddha grantha ""arthaśāstra"" kā saṃkṣipta hindī rūpāṃtara",,,Kauṭilya.,Kauṭilya.,,,,,,Rājapāla,,,2001,,,,,,,,,,,,,,,,,,,,, 140.00,,,,,,,9788170282105,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:23:19.027536988,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170282101.01Z.jpg,,
Candrakāntā,,Tilismī evaṃ romāñcaka prema-kathā,,,Devakīnandana Khatrī,"Khatrī, Devakīnandana",,,,,,Sākshī Prakāśana,,,2012,,,,,,,,,,,,,,,,280,,,,, 125.00,,,,,,,9788186265895,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:36:19.735548973,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/71B7A7FD-360A-4091-B972-9D2E89E85B67,,
Neem Ka Ped,,,,,Rahi Masoom Raza,"Raza, Rahi Masoom",,,,,,Rajkamal Prakashan,,2003/01/01,2003,,,,,"नीम का पेड़ – रही मासूम रजा “मैं अपनी तरफ से इस कहानी में कहानी भी नहीं जोड़ सकता था ! इसीलिए इस कहानी में आपको हदें भी दिखाई देंगी और सरहदें भी ! नफरतों की आग में मोहब्बत के छींट दिखाई देंगे ! सपने दिखाई देंगे तो उनका टूटना भी !... और इन सबके पीछे दिखाई देगी सियासत की काली स्याह दीवार ! हिंदुस्तान की आज़ादी को जिसने निगल लिया ! जिसने राज को कभी भी सु-राज नहीं होने दिया ! जिसे हम रोज झंडे और पहिए के पीछे ढूंढते रहे कि आखिर उनका निशान कहाँ हैं? गाँव मदरसा कुर्द और लछमनपुर कलां महज दो गाँव-भर नहीं हैं और अली जमीं खां और मुस्लिम मियां की अदावत बस दो खालाजाद भाइयों की अदावत नहीं है ! ये तो मुझे मुल्कों की अदावत की तरह दिखाई देती है, जिसमें कभी एक का पलड़ा झुकता दिखाई देता है तो कभी दूसरे का और जिसमें न कोई हारता है, न कोई जीतता है ! बस, बाकी रह जाता है नफरत का एक सिलसिला.... “मैं शुक्रगुजार हूँ उस नीम के पेड़ का जिसने मुल्क को टुकड़े होते हुए भी देखा और आजादी के सपनों को टूटे हुए भी देखा ! उसका दर्द बस इतना है कि वह इन सबके बीच मोहब्बत और सुकून की तलाश करता फिर रहा है !”",,,,,,,,,,,91,,,,, 150.00,Hindi,,,MLCSA 2003/00218 (P),2003306035,,9788126706273,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:39:15.442095041,,,,,,,_w8FiX4iRjoC,Hindi,0,0,,,,
Matsyagandhā,,,,,Narendra Kohli,"Kohli, Narendra",,,,,,Vani Prakashan,,,2011,,,,Comics & Graphic Novels,,,,,,,,,,,,160,,,,,125 ,Hindi,,,PK2098.26.O35,2012338847,,9789350007792,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:40:33.459727048,,,,,,,MXYkDwAAQBAJ,Hindi,0,0,,,,
Aanabana,,,,,Acharya Caturasena,"Caturasena, Acharya",,,,,,,,,,,,,,,,,,,,,,,,,80,,,,, 115.00,,,,,,,9789350642207,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:40:50.109873056,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642204.01Z.jpg,,
Mahabhoj-Natak,,,,,Mannu Bhandari,"Bhandari, Mannu",,,,,,Rajkamal Prakashan,,2008/01/01,2008,,,,,"मन्नू भंडारी को इसका श्रेय जाना चाहिए कि उन्होंने अतिपरिचित परिस्थितियों के, इतने व्यापक फलक को, बिना किसी प्रचलित मुहावरे का शिकार हुए, समेट लिया है | इसी नाम से उनके चर्चित उपन्यास का यह नौ-दृश्यीय नट्यान्तरण अत्यंत यथार्थपरक और तर्कसंगत है | इस नाटक में हम समाज में सक्रिय अनेक ताकतों और गरीबों के जीवन पर उनके प्रभाव की परिणतियों को दृश्य-दर-दृश्य खुलते देखते हैं ...(मोहन) राकेश के बाद पहली बार हम इस नाटक में सुगठित संवादों का श्रवण-सुख भी पाते हैं | - राजेंद्र पॉल, 'महाभोज' सामाजिक यथार्थ का रूखा अंकन मात्र नहीं है, यह बहुत सोचे-समझे, रचनात्मक डिज़ाइन की उत्पत्ति है, साथ ही बहुत सघन भी | इस नाटक को उन राजनितिक नाट्य-रचनाओं में गिना जाएगा जो सिर्फ दर्शकों की भावनाओं और आक्रोश का दोहन मात्र नहीं करतीं, बल्कि यथार्थ की क्रूर और विचलित करने वाली छवि के शक्तिशाली प्रक्षेपण के द्वारा दर्शक की नैतिक संवेदना को चुनौती देती हैं और उन्हें अपने विवेक की खोज में प्रवृत्त करती हैं | - अग्नेश्का सोनी और सबसे ज्यादा यह उपन्यास/नाटक मन्नू भंडारी की संवेदनशील जागरूकता की एक दें है और नाटककारों की श्रेणी में उनके चिर-अभिपिसत आगमन का प्रमाण भी | - कविता नागपाल",,,,,,,,,,,111,,,,,300 ,Hindi,,,,,,9788171196463,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:41:47.469061017,,,,,,,Uucu7XLHDqgC,Hindi,0,0,,,,
Matsyagandhā,,,,,Narendra Kohli,"Kohli, Narendra",,,,,,,,,,,,,,,,,,,,,,,,,160,,,,, 175.00,,,,,,,9789350727362,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:43:23.686334013,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/25199319-7010-44E5-9E8D-EB6223BA1B4A,,
अपने आँगन की छाँव,,,,,मालती जोशी,"जोशी, मालती",,,,,,मनु प्रकाशन,,,2008,,,,,Short stories.,,,,,,,,,,,136,,,,, 100.00,Hindi,,,,,,9788186265857,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/22 14:00:10.101359963,,,,,,,LBQ3AAAACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/D8AF0EE3-DF95-4B8A-B7C7-09E431643BFD,,
बिच्छू,,,,,वासी ख़ान,"ख़ान, वासी",,,,,,Vani Prakashan,,,2006,,,,,"An adaptation (by the author) of Molière's play, Scorpio; work erronously appears as translation.",,,,,,,,,,,63,,,,, 175.00,Hindi,,,,,,9788181435378,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/22 16:59:18.792889952,,,,,,,oN_9v3fdRpkC,Hindi,0,0,,,,
Merī priya kahāniyāṃ,,,,,Kāśīnātha Siṃha,"Siṃha, Kāśīnātha",,,,,,Rājapāla eṇḍ Sanz,,,2013,,,,,,,,,,,,,,,,,,,,, 165.00,,,,,,,9788170289159,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:17:48.162515997,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289157.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Kāśīnātha Siṃha,"Siṃha, Kāśīnātha",,,,,,Rājapāla eṇḍ Sanz,,,2013,,,,,,,,,,,,,,,,,,,,, 165.00,,,,,,,9788170289159,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:18:14.964547038,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289157.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Rajendra Yādav,"Yādav, Rajendra",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 150.00,,,,,,,9789350640647,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:18:31.062615036,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640643.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Abdula Bismillāha,"Bismillāha, Abdula",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,, 150.00,,,,,,,9789386534071,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:19:22.031633973,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/938653407X.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Sachchidananda Hirananda Vatsyayan,"Vatsyayan, Sachchidananda Hirananda",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,,,,,,,9789350640562,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:19:36.679553031,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640562.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Nasira Sharma,"Sharma, Nasira",,,,,,Rājapāla eṇḍ Sanz,,,2011,,,,,,,,,,,,,,,,,,,,, 125.00,,,,,,,9788170289562,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:21:55.071601986,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289564.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Nasira Sharma,"Sharma, Nasira",,,,,,Rājapāla eṇḍ Sanz,,,2011,,,,,,,,,,,,,,,,,,,,, 165.00,,,,,,,9788170289562,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:22:27.844280004,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289564.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Amṛtalāla Nāgara,"Nāgara, Amṛtalāla",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 150.00,,,,,,,9789350640654,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:22:50.042986989,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640651.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Citrā Mudgala,"Mudgala, Citrā",,,,,,Rājapāla eṇḍa Sanza,,,2013,,,,,,,,,,,,,,,,128,,,,, 135.00,,,,,,,9789350641286,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:23:13.742455005,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641283.01Z.jpg,,
Merī priya kahāniyām̐,,,,,Citrā Mudgala,"Mudgala, Citrā",,,,,,Rājapāla eṇḍa Sanza,,,2013,,,,,,,,,,,,,,,,128,,,,, 135.00,,,,,,,9789350641286,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:23:33.260645031,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641283.01Z.jpg,,
Neelambra,,Hin.727.,,,Mahadevi Verma,"Verma, Mahadevi",,,,,,Rajpal & Sons,,,2005,,,,,Mahadevi Verma's poems collection.,,,,,,,,,,,100,,,,, 175.00,Hindi,,,,,,9788170284956,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:25:40.220939040,,,,,,,eFtwJjn2lYsC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/DC21431E-DFC8-47AA-939C-5705459D4BE8,,
Neelambra,,Hin.727.,,,Mahadevi Verma,"Verma, Mahadevi",,,,,,Rajpal & Sons,,,2005,,,,,Mahadevi Verma's poems collection.,,,,,,,,,,,100,,,,, 175.00,Hindi,,,,,,9788170284956,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:25:40.220939040,,,,,,,eFtwJjn2lYsC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/DC21431E-DFC8-47AA-939C-5705459D4BE8,,
Deepgeet,,,,,Mahadevi Verma,"Verma, Mahadevi",,,,,,Rajpal & Sons,,,2005,,,,,Mahadevi Verma's poems collection.,,,,,,,,,,,103,,,,, 175.00,Hindi,,,,,,9788170284949,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:27:34.659741997,,,,,,,hdtlhWelK1IC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/31B8094E-5F49-4627-97A2-BCAE289F44D5,,
Khattar Kaka,,,,,Harimohan Jha,"Jha, Harimohan",,,,,,Rajkamal Prakashan,,2007/09/01,2007,,,,,"खट्टर काका -- धर्म और इतिहास, पुराण के अस्वस्थ, लोकविरोधी प्रसंगों की दिलचस्प लेकिन कड़ी आलोचना प्रस्तुत करनेवाली, बहुमुखी प्रतिभा के धनी हरिमोहन झा की बहुप्रशंसित, उल्लेखनीय व्यंग्यकृति है-खट्टर काका! आज से लगभग पचास वर्ष पूर्व खट्टर काक मैथिली भाषा में प्रकट हुए। जन्म लेते ही वह प्रसिद्ध हो उठे। मिथिला के घर-घर में उनका नाम चर्चित हो गया। जब उनकी कुछ विनोद-वार्त्ताएँ ‘कहानी’, ‘धर्मयुग’ आदि में छपीं तो हिंदी पाठकों को भी एक नया स्वाद मिला। गुजराती पाठकों ने भी उनकी चाशनी चखी। वह इतने बहुचर्चित और लोकप्रिय हुए कि दूर-दूर से चिट्ठियाँ आने लगीं-‘‘यह खट्टर काका कौन हैं कहाँ रहते हैं, उनकी और-और वार्त्ताएँ कहाँ मिलेंगी?’’ खट्टर काका मस्त जीव हैं। ठंडाई छानते हैं और आनंद-विनोद की वर्षा करते हैं। कबीरदास की तरह खट्टर काका उलटी गंगा बहा देते हैं। उनकी बातें एक-से-ए अनूठी, निराली और चौंकानेवाली होती हैं। जैसे-‘‘ब्रह्मचारी को वेद नहीं पढ़ना चाहिए। सती-सावित्री के उपाख्यान कन्याओं के हाथ नहीं देना चाहिए। पुराण बहू-बेटियों के योग्य नहीं हैं। दुर्गा की कथा स्त्रैणों की रची हुई है। गीता में श्रीकृष्ण ने अर्जुन को फुसला दिया है। दर्शनशास्त्र की रचना रस्सी देखकर हुई। असली ब्राह्मण विदेश में हैं। मूर्खता के प्रधान कारण हैं पंडितगण! दही-चिउड़-चीनी सांख्य के त्रिगुण हैं। स्वर्ग जाने से धर्म भ्रष्ट हो जाता है...!’’ खट्टर काका हँसी-हँसी में भी जो उलटा-सीधा बोल जाते हैं, उसे प्रमाणित किए बिना नहीं छोड़ते। श्रोता को अपने तर्क-जाल में उलझाकर उसे भूल-भुलैया में डाल देना उनका प्रिय कौतुक है। वह तसवीर का रुख तो यो पलट देते हैं कि सारे परिप्रेक्ष्य ही बदल जाते हैं। रामायण, महाभारत, गीता, वेद, वेदांत, पुराण-सभी उलट जाते हैं। बडे़-बड़े दिग्गज चरित्र बौने-विद्रूप बन जाते हैं। सिद्धान्तवादी सनकी सिद्ध होते हैं, और जीवमुक्त मिट्टी के लोंदे। देवतागण गोबर-गणेश प्रतीत होते हैं। धर्मराज अधर्मराज, और सत्यनारायण असत्यनारायण भासित होते हैं। आदर्शों के चित्र कार्टून जैसे दृष्टिगोचर होते हैं...। वह ऐसा चश्मा लगा देते हैं कि दुनिया ही उलटी नजर आती है। स्वर्ण जयंती के अवसर पर प्रकाशित हिंदी पाठकों के लिए एक अनुपम कृति-खट्टर काका।",,,,,,,,,,,199,,,,,199 ,Hindi,,,,,,9788126704279,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:28:06.106505990,,,,,,,psrNs-9NVvsC,Hindi,0,0,,,,
Sabase baṛā satya,,sārthaka sāmayika vyaṅgya,,,Narendra Kohli,"Kohli, Narendra",,,,,,Rajpal & Sons,,,2006,,,,Hindi language,,,,,,,,,,,,151,,,,, 140.00,Hindi,,,,,,9788170283706,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:29:34.422821998,,,,,,,aa2yDKcKySIC,Hindi,0,0,,,,
Janisar Akhtar,,Ek javan maut,,,Nida Fazli,"Fazli, Nida",,,,,,Vani,,,1997,,,,,,,,,,,,,,,,,,,,, 150.00,,,,,,,9788170555599,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:45:09.264263033,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170555590.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Bhagavatī Caraṇa Varmā,"Varmā, Bhagavatī Caraṇa",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,,,,,,,9789350640463,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:59:43.515910029,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640465.01Z.jpg,,
Merī priya kahāniyāṃ,,,,,Bhagavatī Caraṇa Varmā,"Varmā, Bhagavatī Caraṇa",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,, 165.00,,,,,,,9789350640463,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:00:14.519049048,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640465.01Z.jpg,,
